item_id,category,brand,price,currency,status,created_at
p-0001,food,daily-object,117800,KRW,sale,2025-11-10T00:00:00.000Z
p-0002,food,monday-edition,57600,KRW,sale,2025-12-04T00:00:00.000Z
p-0003,sports,bytenine,36000,KRW,sale,2025-11-05T00:00:00.000Z
p-0004,fashion,bytenine,138200,KRW,sale,2026-03-26T00:00:00.000Z
p-0005,living,hauslab,128200,KRW,sale,2025-07-23T00:00:00.000Z
p-0006,digital,kindclub,36000,KRW,sale,2025-10-03T00:00:00.000Z
p-0007,living,roundlab,183500,KRW,sale,2025-09-06T00:00:00.000Z
p-0008,living,bytenine,104600,KRW,sale,2026-02-14T00:00:00.000Z
p-0009,food,hauslab,139600,KRW,sale,2025-10-15T00:00:00.000Z
p-0010,kids,roundlab,113800,KRW,sale,2026-04-11T00:00:00.000Z
p-0011,digital,monday-edition,24500,KRW,sale,2025-12-04T00:00:00.000Z
p-0012,pet,nooni,30800,KRW,sale,2026-06-02T00:00:00.000Z
p-0013,fashion,roundlab,155100,KRW,sale,2026-06-11T00:00:00.000Z
p-0014,pet,oatberry,20200,KRW,sale,2026-03-31T00:00:00.000Z
p-0015,kids,soltree,79000,KRW,sale,2026-03-14T00:00:00.000Z
p-0016,kids,bytenine,68900,KRW,sale,2026-04-03T00:00:00.000Z
p-0017,sports,oatberry,11000,KRW,soldout,2025-11-09T00:00:00.000Z
p-0018,food,monday-edition,42600,KRW,sale,2025-06-10T00:00:00.000Z
p-0019,living,roundlab,89500,KRW,sale,2025-12-30T00:00:00.000Z
p-0020,food,roundlab,119800,KRW,sale,2026-05-19T00:00:00.000Z
p-0021,beauty,hauslab,74900,KRW,sale,2025-12-15T00:00:00.000Z
p-0022,pet,roundlab,123100,KRW,sale,2026-01-08T00:00:00.000Z
p-0023,food,hauslab,33600,KRW,sale,2025-12-28T00:00:00.000Z
p-0024,food,hauslab,182400,KRW,sale,2026-06-02T00:00:00.000Z
p-0025,living,roundlab,52700,KRW,soldout,2025-07-01T00:00:00.000Z
p-0026,fashion,kindclub,49300,KRW,sale,2025-09-02T00:00:00.000Z
p-0027,beauty,hauslab,19800,KRW,sale,2025-10-28T00:00:00.000Z
p-0028,kids,oatberry,102000,KRW,sale,2026-02-13T00:00:00.000Z
p-0029,living,hauslab,123800,KRW,sale,2026-06-15T00:00:00.000Z
p-0030,living,kindclub,41900,KRW,sale,2026-01-15T00:00:00.000Z
p-0031,kids,bytenine,156700,KRW,sale,2025-09-27T00:00:00.000Z
p-0032,kids,soltree,185200,KRW,sale,2026-05-07T00:00:00.000Z
p-0033,fashion,roundlab,162500,KRW,sale,2026-06-03T00:00:00.000Z
p-0034,digital,monday-edition,125400,KRW,sale,2026-04-06T00:00:00.000Z
p-0035,digital,soltree,4100,KRW,sale,2026-02-05T00:00:00.000Z
p-0036,beauty,daily-object,44500,KRW,sale,2025-08-09T00:00:00.000Z
p-0037,digital,hauslab,146900,KRW,sale,2025-09-08T00:00:00.000Z
p-0038,food,kindclub,90900,KRW,sale,2026-02-06T00:00:00.000Z
p-0039,digital,kindclub,119400,KRW,soldout,2025-11-27T00:00:00.000Z
p-0040,sports,monday-edition,113500,KRW,sale,2026-03-10T00:00:00.000Z
p-0041,sports,peaksome,178300,KRW,sale,2025-12-23T00:00:00.000Z
p-0042,digital,daily-object,102000,KRW,sale,2026-02-07T00:00:00.000Z
p-0043,fashion,monday-edition,100200,KRW,sale,2025-06-01T00:00:00.000Z
p-0044,pet,bytenine,142400,KRW,sale,2025-09-13T00:00:00.000Z
p-0045,sports,oatberry,157200,KRW,sale,2026-03-25T00:00:00.000Z
p-0046,pet,bytenine,85900,KRW,sale,2025-10-17T00:00:00.000Z
p-0047,fashion,oatberry,45300,KRW,sale,2025-12-27T00:00:00.000Z
p-0048,beauty,bytenine,32200,KRW,sale,2025-06-22T00:00:00.000Z
p-0049,digital,oatberry,120500,KRW,sale,2025-10-02T00:00:00.000Z
p-0050,beauty,roundlab,7700,KRW,sale,2025-11-06T00:00:00.000Z
p-0051,kids,nooni,23900,KRW,sale,2026-05-21T00:00:00.000Z
p-0052,kids,bytenine,125000,KRW,sale,2025-06-09T00:00:00.000Z
p-0053,pet,nooni,118700,KRW,sale,2025-07-16T00:00:00.000Z
