user_id,gender,birth_year,joined_at,consent
u-000001,M,1976,2024-11-20T00:00:00.000Z,True
u-000003,F,1973,2024-07-25T00:00:00.000Z,True
u-000005,F,1997,2025-03-25T00:00:00.000Z,True
u-000007,F,1990,2026-04-14T00:00:00.000Z,True
u-000009,F,2002,2024-12-07T00:00:00.000Z,True
u-000011,,1999,2025-09-17T00:00:00.000Z,True
u-000015,,1980,2025-01-27T00:00:00.000Z,True
u-000019,,1993,2025-08-05T00:00:00.000Z,True
u-000022,M,1992,2025-01-31T00:00:00.000Z,True
u-000026,,1983,2026-02-02T00:00:00.000Z,True
u-000027,M,,2025-10-05T00:00:00.000Z,True
u-000028,F,1997,2026-05-26T00:00:00.000Z,True
u-000032,,1979,2024-11-23T00:00:00.000Z,True
u-000033,,1993,2026-03-25T00:00:00.000Z,True
u-000035,M,2002,2025-04-06T00:00:00.000Z,True
u-000037,F,,2024-12-09T00:00:00.000Z,True
u-000038,F,2005,2025-07-31T00:00:00.000Z,True
u-000039,,1992,2025-12-15T00:00:00.000Z,True
u-000042,,2000,2024-12-06T00:00:00.000Z,True
u-000043,F,2005,2024-09-10T00:00:00.000Z,True
u-000044,,1991,2025-04-24T00:00:00.000Z,True
u-000049,M,1982,2026-06-03T00:00:00.000Z,True
u-000054,,,2024-09-19T00:00:00.000Z,True
u-000055,F,2005,2026-03-03T00:00:00.000Z,True
u-000056,F,2003,2025-05-25T00:00:00.000Z,True
u-000057,M,1977,2024-08-11T00:00:00.000Z,True
u-000058,M,1976,2024-12-16T00:00:00.000Z,True
u-000059,F,2001,2025-03-27T00:00:00.000Z,True
u-000060,,2005,2026-03-09T00:00:00.000Z,True
u-000063,,1985,2024-09-21T00:00:00.000Z,True
u-000065,F,1996,2024-11-25T00:00:00.000Z,True
u-000069,M,1995,2025-12-14T00:00:00.000Z,True
u-000071,,1972,2025-02-10T00:00:00.000Z,True
u-000073,M,1997,2025-08-06T00:00:00.000Z,True
u-000078,M,,2025-05-29T00:00:00.000Z,True
u-000086,F,2006,2025-11-02T00:00:00.000Z,True
u-000088,F,1972,2025-11-24T00:00:00.000Z,True
u-000089,M,2002,2024-07-07T00:00:00.000Z,True
u-000090,M,1972,2025-05-04T00:00:00.000Z,True
u-000092,M,1977,2024-12-14T00:00:00.000Z,True
u-000093,,1980,2025-11-18T00:00:00.000Z,True
u-000094,,,2026-04-22T00:00:00.000Z,True
u-000097,,1974,2024-10-29T00:00:00.000Z,True
u-000104,M,1997,2025-09-01T00:00:00.000Z,True
u-000105,F,1987,2025-01-19T00:00:00.000Z,True
u-000106,M,1975,2025-04-26T00:00:00.000Z,True
u-000107,,,2025-09-17T00:00:00.000Z,True
u-000108,F,1987,2024-09-22T00:00:00.000Z,True
u-000110,,1977,2024-08-06T00:00:00.000Z,True
u-000114,F,1994,2024-10-01T00:00:00.000Z,True
u-000115,M,1993,2026-05-26T00:00:00.000Z,True
u-000116,,,2025-03-31T00:00:00.000Z,True
u-000125,,1990,2025-11-06T00:00:00.000Z,True
u-000129,F,1979,2025-09-15T00:00:00.000Z,True
u-000136,M,1974,2024-12-02T00:00:00.000Z,True
u-000139,,2006,2025-09-04T00:00:00.000Z,True
u-000140,F,,2026-05-21T00:00:00.000Z,True
u-000141,F,1995,2025-08-28T00:00:00.000Z,True
u-000143,,1981,2026-02-06T00:00:00.000Z,True
u-000146,M,1975,2026-04-05T00:00:00.000Z,True
u-000147,M,1999,2026-01-04T00:00:00.000Z,True
u-000150,,2000,2026-06-10T00:00:00.000Z,True
u-000153,,1972,2025-05-14T00:00:00.000Z,True
u-000155,,1982,2025-01-15T00:00:00.000Z,True
u-000156,,2003,2025-12-14T00:00:00.000Z,True
u-000157,,1984,2025-05-20T00:00:00.000Z,True
u-000161,F,1981,2024-12-31T00:00:00.000Z,True
u-000162,,1993,2026-03-03T00:00:00.000Z,True
u-000163,F,1991,2024-12-23T00:00:00.000Z,True
u-000164,F,1988,2025-07-26T00:00:00.000Z,True
u-000169,,1994,2025-07-04T00:00:00.000Z,True
u-000170,,,2025-04-07T00:00:00.000Z,True
u-000171,F,1995,2026-05-15T00:00:00.000Z,True
u-000173,,1986,2026-04-08T00:00:00.000Z,True
u-000180,F,1997,2025-05-28T00:00:00.000Z,True
u-000181,,1990,2025-04-27T00:00:00.000Z,False
u-000182,M,1972,2026-03-06T00:00:00.000Z,True
u-000183,F,1977,2025-08-02T00:00:00.000Z,True
u-000185,F,1972,2026-02-22T00:00:00.000Z,True
u-000187,M,1977,2025-03-17T00:00:00.000Z,True
u-000188,M,2005,2025-07-14T00:00:00.000Z,True
u-000192,,1983,2024-08-11T00:00:00.000Z,True
u-000193,F,1997,2025-04-13T00:00:00.000Z,True
u-000196,F,1994,2024-12-15T00:00:00.000Z,True
u-000200,M,1998,2025-08-31T00:00:00.000Z,True
